printable_id,route,prose_summary,missing_verified_fields,unapproved_candidates,review_reason
chibi__chibi-animals-pets-dogs-poodle__8ec7f8987f,/printables/animals/chibi-animals-pets-dogs-poodle-8ec7f8987f,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-portuguese-water-dog__92303ff607,/printables/animals/chibi-animals-pets-dogs-portuguese-water-dog-92303ff607,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-pug__68e0527228,/printables/animals/chibi-animals-pets-dogs-pug-68e0527228,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-rhodesian-ridgeback__4fb181f4e8,/printables/animals/chibi-animals-pets-dogs-rhodesian-ridgeback-4fb181f4e8,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-rottweiler__53a10ba654,/printables/animals/chibi-animals-pets-dogs-rottweiler-53a10ba654,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-saint-bernard__5f57cee85c,/printables/animals/chibi-animals-pets-dogs-saint-bernard-5f57cee85c,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-saluki__46ee9151f0,/printables/animals/chibi-animals-pets-dogs-saluki-46ee9151f0,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-samoyed__08d5995129,/printables/animals/chibi-animals-pets-dogs-samoyed-08d5995129,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-scottish-terrier__341d994df6,/printables/animals/chibi-animals-pets-dogs-scottish-terrier-341d994df6,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-shetland-sheepdog__9fac4e13c7,/printables/animals/chibi-animals-pets-dogs-shetland-sheepdog-9fac4e13c7,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-shiba-inu__21f6045bdb,/printables/animals/chibi-animals-pets-dogs-shiba-inu-21f6045bdb,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-shih-tzu__2f951f298d,/printables/animals/chibi-animals-pets-dogs-shih-tzu-2f951f298d,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-siberian-husky__abef18b5ee,/printables/animals/chibi-animals-pets-dogs-siberian-husky-abef18b5ee,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-staffordshire-bull-terrier__7b8d7a0b1f,/printables/animals/chibi-animals-pets-dogs-staffordshire-bull-terrier-7b8d7a0b1f,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-toy-fox-terrier__b31c35388c,/printables/animals/chibi-animals-pets-dogs-toy-fox-terrier-b31c35388c,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-vizsla__55a5226b41,/printables/animals/chibi-animals-pets-dogs-vizsla-55a5226b41,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-weimaraner__8f5d137088,/printables/animals/chibi-animals-pets-dogs-weimaraner-8f5d137088,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-whippet__31b3929140,/printables/animals/chibi-animals-pets-dogs-whippet-31b3929140,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-wirehaired-pointing-griffon__f7f02c9fd3,/printables/animals/chibi-animals-pets-dogs-wirehaired-pointing-griffon-f7f02c9fd3,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-yorkshire-terrier__0e4582d5cf,/printables/animals/chibi-animals-pets-dogs-yorkshire-terrier-0e4582d5cf,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-anime-girl-hiking__23c5623800,/printables/anime-girls/chibi-anime-girl-hiking-23c5623800,present,primary_subject|seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-anime-girl-karate-fighting__0e15e66f5d,/printables/anime-girls/chibi-anime-girl-karate-fighting-0e15e66f5d,present,primary_subject|seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-armadillo__b67dd7fc0d,/printables/chibi/chibi-armadillo-b67dd7fc0d,present,primary_subject|seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-baboon__1aa4c907ea,/printables/chibi/chibi-baboon-1aa4c907ea,present,primary_subject|seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-baby-rat__507350ed4f,/printables/chibi/chibi-baby-rat-507350ed4f,present,primary_subject|seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-badger__57e945a922,/printables/chibi/chibi-badger-57e945a922,present,primary_subject|seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-basilisk__6f2bd7b27d,/printables/chibi/chibi-basilisk-6f2bd7b27d,present,primary_subject|seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-basilisk-angry__a4253bd32d,/printables/chibi/chibi-basilisk-angry-a4253bd32d,present,primary_subject|seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-bat__fe629d39f4,/printables/bats/chibi-bat-fe629d39f4,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-bear__24adcef6cd,/printables/bears/chibi-bear-24adcef6cd,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-beaver__c4784a9714,/printables/chibi/chibi-beaver-c4784a9714,present,primary_subject|seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-bee-dragon__d02a4e4cd4,/printables/animals/chibi-bee-dragon-d02a4e4cd4,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-bison__55c9f42a2b,/printables/chibi/chibi-bison-55c9f42a2b,present,primary_subject|seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-boar__71b5865a51,/printables/chibi/chibi-boar-71b5865a51,present,primary_subject|seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-brachiosaurus__2674f26daf,/printables/animals/chibi-brachiosaurus-2674f26daf,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-bull__8c78675ea7,/printables/chibi/chibi-bull-8c78675ea7,present,primary_subject|seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-camel__77678a2976,/printables/chibi/chibi-camel-77678a2976,present,primary_subject|seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-castle__d763e81619,/printables/buildings/chibi-castle-d763e81619,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-cat__3abcbe3ef5,/printables/animals/chibi-cat-3abcbe3ef5,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-cave-bear__34458b23d1,/printables/bears/chibi-cave-bear-34458b23d1,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-cave-lion__6264802ece,/printables/chibi/chibi-cave-lion-6264802ece,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-cave-paintaings__5b114a51df,/printables/chibi/chibi-cave-paintings-5b114a51df,present,primary_subject|seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-centaur__6127029f26,/printables/chibi/chibi-centaur-6127029f26,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-centaur-archer__f313ab1b5c,/printables/chibi/chibi-centaur-archer-f313ab1b5c,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
